City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Norman Wells,CA,65.282,-126.8329,64.44,68,75,5.75,broken clouds
302,Saldanha,ZA,-33.0117,17.9442,55.6,66,0,21.27,clear sky
303,Luwero,UG,0.8492,32.4731,62.74,82,12,2.95,few clouds
304,Svetlogorsk,BY,52.6333,29.7333,66.45,63,38,6.76,scattered clouds
305,Lokosovo,RU,61.1333,74.8167,51.12,83,100,10.76,overcast clouds
306,Matara,LK,5.9485,80.5353,78.31,86,89,13.91,overcast clouds
307,Mandalgovi,MN,45.7625,106.2708,62.82,59,100,4.12,overcast clouds
308,Nakamura,JP,32.9833,132.9333,71.69,90,100,2.33,overcast clouds
309,Port Macquarie,AU,-31.4333,152.9167,47.89,85,91,8.12,overcast clouds
310,Khash,IR,28.2211,61.2158,79.81,60,81,20.98,broken clouds
311,Sakakah,SA,29.9697,40.2064,93.69,13,0,16.91,clear sky
312,Ostrovnoy,RU,68.0531,39.5131,51.26,81,96,2.48,overcast clouds
313,Mpulungu,ZM,-8.7623,31.1141,74.03,48,2,7.81,clear sky
314,Manado,ID,1.487,124.8455,74.17,94,20,2.3,few clouds
315,Broken Hill,AU,-31.95,141.4333,51.8,78,0,7.94,clear sky
316,Port-Gentil,GA,-0.7193,8.7815,73.6,76,100,10.71,overcast clouds
317,Banjar,ID,-8.19,114.9675,71.38,87,20,6.85,few clouds
318,Touros,BR,-5.1989,-35.4608,78.08,80,61,17.13,broken clouds
319,Noumea,NC,-22.2763,166.4572,73.18,90,91,5.61,overcast clouds
320,Provideniya,RU,64.3833,-173.3,44.76,81,99,8.61,overcast clouds
321,Rafraf,TN,37.1904,10.1837,84.51,70,0,10.56,clear sky
322,Arkhipo-Osipovka,RU,44.37,38.52,66.81,70,12,4.59,few clouds
323,Sioux Lookout,CA,50.1001,-91.917,73.47,53,100,3.44,overcast clouds
324,Mayumba,GA,-3.432,10.6554,69.15,90,97,5.23,overcast clouds
325,Avera,US,33.194,-82.5271,92.71,39,39,2.21,scattered clouds
326,Qaqortoq,GL,60.7167,-46.0333,46.92,81,98,7.45,overcast clouds
